datetime,tempmax,tempmin,humidity,precip,windspeed,sealevelpressure,cloudcover,solarradiation
2013-06-13,29.9,16.1,74.1,0.0,9.4,1010.4,79.6,171.7
2013-06-14,30.7,15.7,73.8,1.5,16.9,1007.8,82.9,262.6
2013-06-15,32.4,16.1,73.8,3.7,19.4,1007.8,83.2,298.7
2013-06-16,32.2,14.2,69.4,3.3,15.1,1009.2,68.2,333.3
2013-06-17,31.4,14.9,72.8,7.5,17.3,1010.4,70.7,291.2
2013-06-18,31.4,14.9,67.4,0.6,13.3,1006.9,67.2,214.1
2013-06-19,31.4,18.2,80.4,2.6,14.0,1005.1,85.4,150.8
2013-06-20,26.0,17.9,84.0,7.4,13.7,1009.2,94.2,226.3
2013-06-21,27.0,18.7,81.7,9.8,11.5,1010.2,95.8,213.0
2013-06-22,27.3,19.4,79.9,5.2,11.2,1010.4,95.7,195.5
2013-06-23,27.5,17.1,78.8,7.9,15.1,1008.3,91.0,237.6
2013-06-24,27.4,18.7,86.4,1.8,18.7,1010.9,90.4,109.2
2013-06-25,27.2,15.2,79.8,3.8,16.9,1012.0,91.1,264.8
2013-06-26,27.7,16.2,79.4,2.1,16.9,1010.1,88.9,232.1
2013-06-27,28.7,14.4,78.8,1.7,11.2,1011.6,86.6,181.0
2013-06-28,27.1,15.9,77.5,0.8,11.9,1009.8,84.9,164.4
2013-06-29,25.2,14.1,78.5,1.1,15.1,1013.0,78.2,210.8
2013-06-30,26.4,16.4,82.7,2.8,18.4,1009.0,83.1,220.4
2014-06-01,27.7,16.9,74.8,7.4,10.8,1006.7,88.7,169.2
2014-06-02,29.1,14.2,68.6,1.8,14.4,1005.9,81.2,193.7
2014-06-03,29.4,15.1,73.5,39.9,21.6,1005.7,86.3,201.2
2014-06-04,28.1,17.7,80.4,46.2,12.2,1004.1,91.0,130.0
2014-06-05,26.1,19.4,86.1,22.6,14.4,1006.1,96.3,147.9
2014-06-06,27.2,17.9,86.7,10.2,15.5,1006.5,95.2,187.6
2014-06-07,25.7,17.2,86.6,12.5,17.3,1008.9,97.3,228.1
